number,endpoint,request,success_response,error_response
1,/login,"{""email"": ""string"", ""password"": ""string""}","{""status"": 200, ""data"": {""user"": {""emp_id"": 1, ""email"": ""user@example.com"", ...}, ""access_token"": ""jwt.token.here"", ""message"": ""Login successful""}, ""message"": ""Login successful""}","{""status"": 200, ""error"": {""error"": ""Invalid email or password""}}"
2,/user,"{""emp_id"": 1, ""access_token"": ""jwt.token.here""}","{""status"": 200, ""data"": [{""emp_id"": 1, ""full_name"": ""John Doe"", ...}], ""message"": ""Employee data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""Employee not found""}}"
3,/add-user,"{""access_token"": ""jwt.token.here"", ""full_name"": ""string"", ""email"": ""user@example.com"", ""password"": ""string"", ""phone"": ""1234567890"", ""w_phone"": ""0987654321"", ""role"": 1, ""department"": 1}","{""status"": 201, ""data"": {""emp_id"": 1}, ""message"": ""Employee added successfully""}","{""status"": 400, ""error"": {""error"": ""Email already exists""}}"
4,/update-user,"{""access_token"": ""jwt.token.here"", ""emp_id"": 1, ""full_name"": ""string"", ""password"": ""string"", ""phone"": ""string"", ""w_phone"": ""string"", ""role"": 1, ""department"": 1, ""status"": 1}","{""status"": 200, ""data"": {""emp_id"": 1}, ""message"": ""Employee updated successfully""}","{""status"": 400, ""error"": {""error"": ""Email already exists""}}"
5,/circle,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional)}","{""status"": 200, ""data"": [{""circle_id"": 1, ""circle_name"": ""Circle 1""}, ...], ""message"": ""Circle data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""Circle not found""}}"
6,/add-circle,"{""access_token"": ""jwt.token.here"", ""circle_name"": ""string""}","{""status"": 201, ""data"": {""circle_id"": 1}, ""message"": ""Circle added successfully""}","{""status"": 400, ""error"": {""error"": ""Circle name already exists""}}"
7,/update-circle,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1, ""circle_name"": ""string""}","{""status"": 200, ""data"": {""circle_id"": 1}, ""message"": ""Circle updated successfully""}","{""status"": 400, ""error"": {""error"": ""Circle name already exists""}}"
8,/division,"{""access_token"": ""jwt.token.here"", ""division_id"": 1 (optional), ""circle_id"": 1 (optional)}","{""status"": 200, ""data"": [{""division_name"": ""Division 1"", ""circle_name"": ""Circle 1"", ""division_id"": 1, ""circle_id"": 1}, ...], ""message"": ""Division data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""No divisions found""}}"
9,/add-division,"{""access_token"": ""jwt.token.here"", ""division_name"": ""string"", ""circle_id"": 1}","{""status"": 201, ""data"": {""division_id"": 1}, ""message"": ""Division added successfully""}","{""status"": 400, ""error"": {""error"": ""Division name already exists in this circle""}}"
10,/update-division,"{""access_token"": ""jwt.token.here"", ""division_id"": 1, ""division_name"": ""string"", ""circle_id"": 1}","{""status"": 200, ""data"": {""division_id"": 1}, ""message"": ""Division updated successfully""}","{""status"": 400, ""error"": {""error"": ""Division name already exists in this circle""}}"
11,/subdivision,"{""access_token"": ""jwt.token.here"", ""sub_id"": 1 (optional), ""division_id"": 1 (optional), ""circle_id"": 1 (optional)}","{""status"": 200, ""data"": [{""subdivision_name"": ""Subdivision 1"", ""division_name"": ""Division 1"", ""circle_name"": ""Circle 1"", ""sub_id"": 1, ""division_id"": 1, ""circle_id"": 1}, ...], ""message"": ""Subdivision data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""No subdivisions found""}}"
